Month,AVG AU
2012-07,"8,599"
2012-08,"12,141"
2012-09,"13,969"
2012-10,"18,664"
2012-11,"24,013"
2012-12,"29,439"
2013-01,"78,565"
2013-02,"97,065"
2013-03,"113,172"
2013-04,"131,099"
2013-05,"112,153"
2013-06,"102,077"
2013-07,"115,211"
2013-08,"112,656"
2013-09,"125,170"
2013-10,"107,313"
2013-11,"122,597"
2013-12,"93,775"
2014-01,"104,339"
2014-02,"112,536"
2014-03,"112,154"
2014-04,"111,024"
2014-05,"107,605"
2014-06,"110,301"
2014-07,"123,776"
2014-08,"126,943"
2014-09,"135,848"
2014-10,"149,602"
2014-11,"161,546"
2014-12,"173,449"
2015-01,"213,268"
2015-02,"244,607"
2015-03,"257,924"
2015-04,"278,932"
2015-05,"282,175"
2015-06,"292,076"
2015-07,"304,839"
2015-08,"314,580"
2015-09,"353,557"
